Kepler-169,87.090195,0.359,
Kepler-171,4.166972,0.05,
Kepler-171,11.463462,0.098,
Kepler-171,39.595519,0.223,
Kepler-172,2.940309,0.04,
Kepler-172,6.388996,0.068,
Kepler-172,14.627119,0.118,
Kepler-172,35.118736,0.211,
Kepler-174,13.98179,0.1,
Kepler-174,44.000529,0.214,
Kepler-174,247.35373,0.677,
Kepler-176,5.433074,0.058,
Kepler-176,12.759712,0.102,
Kepler-176,25.751974,0.163,
Kepler-176,51.16579,,
Kepler-178,9.576694,0.085,
Kepler-178,20.552802,0.142,
Kepler-178,96.678988,0.397,
Kepler-18,3.504725,0.0447,0
Kepler-18,7.64159,0.0752,0
Kepler-18,14.85888,0.1172,0
Kepler-184,10.687576,0.092,
Kepler-184,20.303005,0.141,
Kepler-184,29.022358,0.179,
Kepler-186,3.8867907,0.0343,
Kepler-186,7.267302,0.0451,
Kepler-186,13.342996,0.0781,
Kepler-186,22.407704,0.11,
Kepler-186,129.9441,0.432,0.04
Kepler-19,9.28699,0.0846,0.41
Kepler-19,28.731,,0.21
Kepler-19,62.95,,0.05
Kepler-191,9.939632,0.087,
Kepler-191,17.738506,0.128,
Kepler-191,5.94504102,,
Kepler-192,9.926746,0.09,
Kepler-192,21.2234,0.15,
Kepler-192,6.47027579,,
Kepler-194,2.092281,0.032,
Kepler-194,17.308032,0.131,
Kepler-194,52.814973,0.275,
Kepler-196,20.739886,0.138,
Kepler-196,47.427737,0.24,
Kepler-196,122.0800018,,
Kepler-197,5.599308,0.06,
Kepler-197,10.349695,0.09,
Kepler-197,15.677563,0.119,
Kepler-197,25.209715,0.164,
Kepler-198,17.790037,0.131,
Kepler-198,49.567416,0.259,
