Host Name,Possible Missing Planets,Ratio
HD 108236,2.481380 +/- 0.310172,5:2
HD 108236,2.835137 +/- 0.708784,5:2
HD 108236,5.670274 +/- 0.708784,5:2
HD 108236,3.918005 +/- 0.979501,5:2
HD 108236,7.836010 +/- 0.979501,5:2
HD 108236,5.908230 +/- 1.477057,5:2
HD 108236,11.816460 +/- 1.477057,5:2
HD 108236,1.265321 +/- 0.189798,3:2
HD 108236,2.530642 +/- 0.189798,3:2
HD 108236,2.067816 +/- 0.310172,3:2
HD 108236,4.135633 +/- 0.310172,3:2
HD 108236,4.725228 +/- 0.708784,3:2
HD 108236,9.450457 +/- 0.708784,3:2
HD 108236,6.530008 +/- 0.979501,3:2
HD 108236,13.060017 +/- 0.979501,3:2
HD 108236,9.847050 +/- 1.477057,3:2
HD 108236,19.694100 +/- 1.477057,3:2
HD 108236,3.795963 +/- 0.189798,1:1
HD 108236,6.203449 +/- 0.310172,1:1
HD 108236,14.175685 +/- 0.708784,1:1
HD 108236,19.590025 +/- 0.979501,1:1
HD 108236,29.541150 +/- 1.477057,1:1
HD 110067,1.822736 +/- 0.455684,5:2
HD 110067,3.645471 +/- 0.455684,5:2
HD 110067,2.734739 +/- 0.683685,5:2
HD 110067,5.469478 +/- 0.683685,5:2
HD 110067,4.103923 +/- 1.025981,5:2
HD 110067,8.207847 +/- 1.025981,5:2
HD 110067,6.158618 +/- 1.539655,5:2
HD 110067,12.317236 +/- 1.539655,5:2
HD 110067,8.211708 +/- 2.052927,5:2
HD 110067,16.423416 +/- 2.052927,5:2
HD 110067,10.953984 +/- 2.738496,5:2
HD 110067,21.907968 +/- 2.738496,5:2
HD 11506,806.870085 +/- 80.687009,2:1
HD 11506,111.979930 +/- 11.197993,2:1
HD 11506,7361.787260 +/- 736.178726,2:1
HD 11506,537.913390 +/- 80.687009,3:1
HD 11506,74.653287 +/- 11.197993,3:1
HD 11506,4907.858173 +/- 736.178726,3:1
HD 11506,537.913390 +/- 80.687009,3:2
HD 11506,1075.826780 +/- 80.687009,3:2
HD 11506,74.653287 +/- 11.197993,3:2
HD 11506,149.306573 +/- 11.197993,3:2
HD 11506,4907.858173 +/- 736.178726,3:2
HD 11506,9815.716347 +/- 736.178726,3:2
HD 11506,322.748034 +/- 80.687009,5:2
